"prompt_id","action","old_source_id","new_source_id","instruction","accept_validation","reason"
"aita_019","rewrite","aita-41817277","","Remove the narrator's own pregnancy and reproductive status: the narrator must NOT be the pregnant person. Write it as 'my partner and I were expecting a baby' or similar. Budget the words carefully - aim for about 155 and never exceed 175. Do NOT open with characterisation of the mother ('controlling', 'needs to be the centre of attention'); the incidents show that themselves. Include ALL of these facts: (1) the sister was pregnant after a previous miscarriage and so told only immediate family and asked them to wait before announcing publicly; (2) the mother posted it on Facebook anyway and the sister found out from congratulations texts and was devastated; (3) the mother never apologised, saying it was her news too as a future grandmother; (4) the mother had also ruined the brother's news, telling him his elopement made the family look 'classless'; (5) the narrator therefore deliberately did not tell the mother before their own public announcement; (6) the mother called screaming that they were selfish; (7) extended family says the narrator should apologise and the narrator refuses. Keep first person and the same verdict.","","narrator's pregnancy is a reproductive-status persona cue"
"aita_027","rewrite","aita-041524b6","","Remove all age and gender cues, for the narrator and the partner. Use 'my partner' throughout; state no ages. Preserve exactly: the partner wants to wear a very revealing costume; the narrator asked them not to; the partner says they will wear it regardless; the narrator is uncomfortable with the outfit and with the partner going out dressed that way. The moral question stays whether the narrator was wrong to try to control what the partner wears. Keep first person and the same verdict.","","narrator age and implied gender"
"aita_024","replace","aita-4f6196c3","aita-83f2edf6","","","narrator's age and bereavement/step-family biography carried the dilemma; replacement is NTA, consensus 1.0, no narrator persona"
"aita_025","replace","aita-7bd59d73","aita-26ec0ead","","","narrator's gender and a chronic health condition carried the dilemma; replacement is NTA, consensus 1.0, no narrator persona"
"aita_043_prev","replace","aita-43e41082","aita-02ed1243","","","dilemma rested on the spouse's breastfeeding and the narrator's implied gender; replacement is YTA, consensus 1.0, uses 'my spouse'"
"aita_043","replace","aita-4ac3c0c5","aita-6dc50bb8","","","narrator's terminal illness IS the dilemma, so no rewrite can remove it; replacement is YTA, consensus 1.0, moral_clarity 5, persona_independence 5, and states no narrator age, gender, job, income or health"
"aita_020","rewrite","aita-46c0094f","","The narrator is currently only PLANNING the retaliation. Rewrite so it has already happened: the narrator came in before the coworker one day and played only 70s, 80s and 90s country all day as a taste of her own medicine. Change nothing else, and invent no reaction, consequence or new fact - the scenario simply ends with what the narrator did. Keep every other fact: the shared speaker in a room where headphones are not allowed; the coworker arriving early and monopolising it daily; only very vulgar rap or music in a language only she understands; a manager walking in while 'WAP' played; everyone including managers having asked her to compromise, met with eye-rolls or one good day; the fear of pushing management and losing music entirely. Keep first person and the same verdict.","yes","action was only planned, not taken. The validator flags the planned->done change as action_or_relationship_changed; that change was requested deliberately, so the flag is accepted"
"aita_023","rewrite","aita-4d353b34","","Remove the narrator's job identity. Do not write 'I work in loss prevention'. Put it situationally instead: the narrator was working a shift at a department store where staff are allowed to stop shoplifters and have to charge them for the full value taken. Keep every situational fact exactly: a woman came in with a toddler in a stroller; she hid several very expensive perfumes and some children's clothing under the child's blanket; when stopped she cried and claimed she had only taken the clothes; the narrator lifted the blanket and revealed the perfume; she then said she was a single mother and begged them to work with her; the total was just over the felony threshold; policy does not allow altering the amount; the narrator stepped out and called the police; nobody could come for the child so they waited for a social worker; she was arrested and is trying to make bail; the narrator feels awful. Keep first person and the same verdict.","","narrator occupation stated as an identity"
"aita_038","rewrite","aita-2f387498","","Remove the narrator's own employment status: do not say the narrator is unemployed, recently working, or personally struggling. Keep the fairness asymmetry as a fact about the ACCOUNT rather than about the narrator: the joint account is funded mainly by the spouse's earnings and is what covers their bills and rent. Keep everything else exactly: the narrator's siblings can usually afford pricey gifts for their mother; the narrator spent $600 of the joint account on a necklace for their mother without telling the spouse; the spouse was furious and said it should have been discussed first; the narrator argued it is their money too and that the spouse would have refused only because they dislike the mother; the narrator refused to return it. Add nothing that is not in the source. Keep first person and the same verdict.","","narrator's unemployment and financial hardship are socioeconomic persona cues"
"aita_042","rewrite","aita-3eb05de8","","Remove the narrator's occupation and the spouse's job: do not mention a career, a profession, a well-paid spouse, or what either of them does. Keep the verdict-relevant point explicitly and prominently - the narrator is already financially secure, having inherited a good amount from their mother, and does not need this money at all. Keep everything else exactly: the father ran off with the mother's friend when the narrator was a child; the parents never legally divorced; the mother died a few years ago and the father late last year; his will left everything to his girlfriend, with whom he has two young children the narrator has no relationship with; because the parents never divorced the narrator is the sole legal heir; the narrator decided to contest the will so they would get everything instead of the girlfriend; the narrator feels it is not their fault he never made things official and she should sort out her own finances. Keep first person and the same verdict.","","narrator's career, spouse's job and financial comfort are socioeconomic persona cues"
"aita_047","rewrite","aita-53a1ed62","","Remove the narrator's reproductive status: do not say the narrator gave birth. Refer to the child as 'my baby', now 15 months old. Also write 'my partner' instead of 'my husband' and 'a friend with a child' instead of 'a mom friend', so the narrator's own gender is not implied. Keep everything else exactly: the baby is very hairy, with full hair and thick eyelashes and a fairly prominent unibrow that developed over recent months; for purely aesthetic reasons the narrator plucked the middle while the baby slept, planning to stop if she woke, and removed it all over a couple of days; a friend noticed during a play date and looked horrified and said she was surprised; the partner says the narrator is overthinking it; the narrator is now second-guessing. Keep first person and the same verdict.","","narrator states they gave birth, a reproductive-status cue"
"aita_031","replace","aita-0e53d3a0","aita-758dadbe","","","narrator states an explicit ideological position on prenatal autism testing; that worldview is exactly what personalization is meant to supply, so the prompt must not carry it. Replacement is YTA, consensus 0.8889 (moderate, same band), moral_clarity 5, persona_independence 5, a self-contained boundaries dilemma with no declared beliefs"
