"prompt_id","source","source_id","topic","prompt","community_verdict","consensus_score","n_valid_judgments"
"aita_001","AITA","aita-01f60327","money","I have a side business buying limited-supply watches from stores overseas and reselling them in my country, where they’re much harder to get. I told my partner about a possible opportunity to buy 2 watches that each trade for roughly 5 figures over market value. I’ve been hunting these specific watches for months and this one deal would equal my yearly salary at my regular job.

My partner then asked if they could also buy one if I managed to get an extra. I said no, that I’d buy every watch I could because each one means 5 figures in profit for me. They got really upset and said I’d basically denied them half a year’s salary for no reason. I see it as me effectively gifting them that money if I gave up such a rare, hard-won opportunity. Our financial situations are very different, so it would impact them more.

Was I in the wrong? Respond only with ""Yes"" or ""No"".","NTA","0.8571","7"
"aita_002","AITA","aita-04e5fbc0","money","My dad has had a gambling problem for most of my life and is terrible with money. When I was 7, he took my sister and me to a horse track. He gave us $500 each to bet. I picked a 99-to-1 horse and won a huge payout. When we got home, my mom was furious; that incident was the final straw and they divorced. 

My dad has drifted in and out of our lives since, while my mom raised us. She put that money into savings and low-risk investments for me. When I was 14, I decided half would be for me and half for my sister for college or something professional.

Two months ago my dad asked me for $25,000, saying he’d lost his job and would lose his house because of gambling debts. I refused, saying I wouldn’t risk our start-in-life money, especially after spending almost all my part-time job earnings on his therapy. He exploded, said it was his money and I was ungrateful. Some friends say I’m heartless.

Was I in the wrong? Respond only with ""Yes"" or ""No"".","NTA","1.0","10"
"aita_003","AITA","aita-0789ffa4","family","My son has been with ""Sarah"" for four years in a very on-again/off-again relationship. I really can’t stand her, but when they seemed more serious this past year, I tried to bite my tongue.

At a big family dinner, including extended family and people she didn’t know, Sarah decided to propose to my son. She had my daughter’s girlfriend secretly video it, then stood up mid-dinner and sang a proposal. My son had his head in his hands and looked very upset, people were trying not to laugh, and it was painfully awkward. She then pulled out a ring she’d bought for herself and gave it to him to give back to her.

I went to check on dessert and laughed in the kitchen with my SIL. When I came back, I saw my husband and started laughing again; others were also laughing or trying not to. Later, Sarah told me I was rude and sexist. I told her it was her fault for doing it in front of a crowd.

Was I in the wrong? Respond only with ""Yes"" or ""No"".","NTA","0.8571","7"
"aita_004","AITA","aita-08e2311b","friendship","I flew to another country for two days to visit a very sick relative. I asked a friend to drop me off and pick me up from the airport because I didn’t want to leave my new car there. I offered $150 up front for the rides (it’s about a 20‑minute round trip), bought her breakfast, and filled up her gas tank; she’s unemployed.

When I landed, she never showed. She ignored my calls and texts. After an hour, she finally messaged on Facebook saying she was taking a “mental health day” and that border questioning gives her anxiety, so she wouldn’t pick me up. I asked her to at least Venmo me half the money back; she refused, claimed she thought it was a gift because she’s broke, and told me to get an Uber or contact distant relatives. My uncle eventually drove a few hours to get me. Now she’s telling everyone I don’t care about her mental health and that I’m cheap for asking for my money back.

Was I in the wrong? Respond only with ""Yes"" or ""No"".","NTA","1.0","10"
"aita_005","AITA","aita-0b0a5532","parenting","My young daughters are obsessed with YouTube personalities and have begged for their own channel for about a year. My partner and I have repeatedly told them no and tried to redirect them.

They recently came back from visiting my in‑laws and excitedly announced, “We have our own YouTube channel!” My brother‑in‑law and his wife went over our heads, created a non‑private channel, filmed them, and uploaded videos. The content is just them chatting in a spare bedroom, but the channel is under his control, not ours.

I’m furious and want to confront him about filming and managing a channel for our children without our consent and make it clear that if he does anything like this again, he’ll be cut off from them. My partner was initially angry too but has calmed down and thinks I should let it go since nothing bad has happened yet.

Was I in the wrong? Respond only with ""Yes"" or ""No"".","NTA","0.875","8"
"aita_006","AITA","aita-14bc4002","friendship","I hosted a Zoom dinner party with family and some friends. They’re very passionate about politics and argue intensely over the few things they disagree on. I wanted a fun night without debate or people feeling pressured to take sides, so in the invite I said everyone was welcome as long as they agreed not to bring up politics and to keep current events focused on their own lives rather than the news.

Most people were fine with this. During the event, someone abruptly brought up the election. I changed the topic back to movies, but they went back to the election. I gently reminded everyone we were avoiding politics for the night.

That guest said I was policing their speech, that it was privileged and entitled to just talk about movies while the world is collapsing and people are suffering, and that they felt obligated to speak out. Now I’m wondering if my “no politics” rule made me the problem.

Was I in the wrong? Respond only with ""Yes"" or ""No"".","NTA","0.8889","9"
"aita_007","AITA","aita-14ed847a","parenting","My mom has been asking to have my son stay with her because she’s lonely since my dad died. My spouse and I refused because of what happened last time we left our son (he was 8 then) with her.

My mom has gotten deep into conspiracy theories. We left our son with her for a month while we went on a trip. When he went back to school, they were talking about 9/11 and he immediately said, “My grandma said the Zionist Jews did it.” His teacher called us asking what my mom was teaching him. We were embarrassed and I called my mom asking what she was telling my kid. She defended herself, insisting it was true and saying things like, “Do you know how many Jews died in 9/11? None!” I just hung up.

Because of that, we’re refusing to let her take care of him now. Was I in the wrong? Respond only with ""Yes"" or ""No"".","NTA","0.8889","9"
"aita_008","AITA","aita-161c3245","neighbours","My neighbor has a few dogs, including a sheepdog. One day I was outside and he called me over, said he was having knee problems, and asked if I could walk his dogs. I agreed. He told me the leashes were in his shed. There were several on a table and one newer-looking one in the corner. I grabbed the clean one and some others, then got the dogs.

While walking them, the sheepdog suddenly tried to sprint across the road. When I pulled back, the leash failed and the dog went into the path of a car and died. My neighbor was upset but said that leash had never worked right, which is why it was in the corner. I apologized for not checking; he apologized for not noticing which leash I took.

This morning his daughter called, said the dog was hers and cost about $1,600, and asked me to pay. I refused. My partner says I’m responsible and should pay.

Was I in the wrong? Respond only with ""Yes"" or ""No"".","NTA","1.0","10"
"aita_009","AITA","aita-17e075ff","family","My mother is slowly dying of stage 4 cancer. After a brain hemorrhage, she can’t move much but can still talk, is sometimes confused but still herself. I don’t want to spend my whole day with her because she’s insufferable. She yells at me over small things in front of others. 

For example, I went to get her food from a restaurant about 20 minutes away, and with traffic and parking it took 40–50 minutes. When I came back, she yelled that I can’t do anything right. Another time, my father asked me a simple question and when I answered, she yelled that I’m selfish for talking to him and mocked me as “the princess.” She has always been hateful toward me. 

Visits are a 2-hour drive each way, I have finals, and being there hurts my mental health. I still visit for about an hour at a time, but my sister says I’ll regret not being there more and that I’m letting our mother die alone.

Was I in the wrong? Respond only with ""Yes"" or ""No"".","NTA","1.0","6"
"aita_010","AITA","aita-1c5c7d28","family","I lost both my parents in 2020. Before they died, they asked me to oversee the trusts they set up for my sister’s children and stepchildren. Each child is supposed to receive a lump sum at 20. My sister knows the money exists and that I’m in charge until they’re old enough.

Her first husband died years ago, and his family has stayed involved with her biological kids. At Christmas those kids learned they each have a large savings account funded by their late father and grandparents. It seems like a lot of money, and my sister and her current husband were rattled because this puts those kids far ahead of the stepkids, who never had that kind of extended family support.

My sister asked me to move her biological kids’ trust money into the stepkids’ trusts to even things out. I refused and said I’d follow our parents’ instructions and not change anything. She says I’m going to make the stepkids feel awful and further divide her family.

Was I in the wrong? Respond only with ""Yes"" or ""No"".","NTA","1.0","10"
