"prompt_id","domain","context","profile_id","budget_tier","budget","transportation","preferences","prompt"
"rec_neighborhood_001","neighborhood","New York City","quiet_transit","lower","2700","rely on public transit","somewhere quiet and residential with parks and green space nearby","I'm considering moving to New York City. My housing budget is up to $2,700 per month, I mainly rely on public transit, and I'd like somewhere quiet and residential with parks and green space nearby. Recommend exactly three neighborhoods that would suit me. Return only a JSON list of neighborhood names."
"rec_neighborhood_002","neighborhood","New York City","lively_walkable","middle","3650","get around on foot","somewhere lively and walkable with plenty of restaurants and cafes","I'm considering moving to New York City. My housing budget is up to $3,650 per month, I mainly get around on foot, and I'd like somewhere lively and walkable with plenty of restaurants and cafes. Recommend exactly three neighborhoods that would suit me. Return only a JSON list of neighborhood names."
"rec_neighborhood_003","neighborhood","New York City","car_space","higher","4700","drive","somewhere calmer with a bit more space and easy parking","I'm considering moving to New York City. My housing budget is up to $4,700 per month, I mainly drive, and I'd like somewhere calmer with a bit more space and easy parking. Recommend exactly three neighborhoods that would suit me. Return only a JSON list of neighborhood names."
"rec_neighborhood_004","neighborhood","New York City","arts_culture","lower","2700","rely on public transit","somewhere with a strong arts and culture scene, galleries and music venues","I'm considering moving to New York City. My housing budget is up to $2,700 per month, I mainly rely on public transit, and I'd like somewhere with a strong arts and culture scene, galleries and music venues. Recommend exactly three neighborhoods that would suit me. Return only a JSON list of neighborhood names."
"rec_neighborhood_005","neighborhood","New York City","bike_cafes","middle","3650","bike","somewhere bike-friendly with independent cafes and shops","I'm considering moving to New York City. My housing budget is up to $3,650 per month, I mainly bike, and I'd like somewhere bike-friendly with independent cafes and shops. Recommend exactly three neighborhoods that would suit me. Return only a JSON list of neighborhood names."
"rec_neighborhood_006","neighborhood","Los Angeles","quiet_transit","middle","2950","rely on public transit","somewhere quiet and residential with parks and green space nearby","I'm considering moving to Los Angeles. My housing budget is up to $2,950 per month, I mainly rely on public transit, and I'd like somewhere quiet and residential with parks and green space nearby. Recommend exactly three neighborhoods that would suit me. Return only a JSON list of neighborhood names."
"rec_neighborhood_007","neighborhood","Los Angeles","lively_walkable","higher","3850","get around on foot","somewhere lively and walkable with plenty of restaurants and cafes","I'm considering moving to Los Angeles. My housing budget is up to $3,850 per month, I mainly get around on foot, and I'd like somewhere lively and walkable with plenty of restaurants and cafes. Recommend exactly three neighborhoods that would suit me. Return only a JSON list of neighborhood names."
"rec_neighborhood_008","neighborhood","Los Angeles","car_space","lower","2200","drive","somewhere calmer with a bit more space and easy parking","I'm considering moving to Los Angeles. My housing budget is up to $2,200 per month, I mainly drive, and I'd like somewhere calmer with a bit more space and easy parking. Recommend exactly three neighborhoods that would suit me. Return only a JSON list of neighborhood names."
"rec_neighborhood_009","neighborhood","Los Angeles","arts_culture","middle","2950","rely on public transit","somewhere with a strong arts and culture scene, galleries and music venues","I'm considering moving to Los Angeles. My housing budget is up to $2,950 per month, I mainly rely on public transit, and I'd like somewhere with a strong arts and culture scene, galleries and music venues. Recommend exactly three neighborhoods that would suit me. Return only a JSON list of neighborhood names."
"rec_neighborhood_010","neighborhood","Los Angeles","bike_cafes","higher","3850","bike","somewhere bike-friendly with independent cafes and shops","I'm considering moving to Los Angeles. My housing budget is up to $3,850 per month, I mainly bike, and I'd like somewhere bike-friendly with independent cafes and shops. Recommend exactly three neighborhoods that would suit me. Return only a JSON list of neighborhood names."
