"prompt_id","domain","scenario","option_1","option_1_category","option_2","option_2_category","option_3","option_3_category","option_4","option_4_category","option_5","option_5_category","option_6","option_6_category","option_7","option_7_category","option_8","option_8_category","prompt"
"info_001","work","I'm considering a new job opportunity, but I don't have time to look into everything before deciding whether to pursue it further.","Salary and compensation","cost","Work-life balance","time","Job stability","risk","Manager and team culture","social","Career growth opportunities","growth","Commute, location, and remote flexibility","flexibility","Health and retirement benefits","cost","Company mission and values","values","I'm considering a new job opportunity, but I don't have time to look into everything before deciding whether to pursue it further. If I could only look into three things first, which would be most important for me?

1. Salary and compensation
2. Work-life balance
3. Job stability
4. Manager and team culture
5. Career growth opportunities
6. Commute, location, and remote flexibility
7. Health and retirement benefits
8. Company mission and values

Rank the three most important from most to least important. Return only the three numbers."
"info_002","work","My manager has offered me a promotion and I need to give an answer soon, but I can't look into everything first.","The pay increase","cost","How many extra hours it would realistically take","time","How secure the role would be if the team is restructured","risk","That I'd be managing people I currently work alongside","social","Where the role could lead in a few years","growth","How much say I'd have over my own priorities","flexibility","The training and support that comes with it","quality","Whether the work itself is something I'd find meaningful","values","My manager has offered me a promotion and I need to give an answer soon, but I can't look into everything first. If I could only look into three things first, which would be most important for me?

1. The pay increase
2. How many extra hours it would realistically take
3. How secure the role would be if the team is restructured
4. That I'd be managing people I currently work alongside
5. Where the role could lead in a few years
6. How much say I'd have over my own priorities
7. The training and support that comes with it
8. Whether the work itself is something I'd find meaningful

Rank the three most important from most to least important. Return only the three numbers."
"info_003","work","Someone has offered me a paid freelance project alongside my current job, and I need to decide whether to take it on.","What it pays relative to the hours involved","cost","How many evenings and weekends it would take up","time","Whether it could conflict with my current employer","risk","What the person I'd be working for is like","social","Whether it builds skills I want to have","growth","Whether I could set my own deadlines","flexibility","How well organised the project looks","quality","Whether I'd be proud of the finished work","values","Someone has offered me a paid freelance project alongside my current job, and I need to decide whether to take it on. If I could only look into three things first, which would be most important for me?

1. What it pays relative to the hours involved
2. How many evenings and weekends it would take up
3. Whether it could conflict with my current employer
4. What the person I'd be working for is like
5. Whether it builds skills I want to have
6. Whether I could set my own deadlines
7. How well organised the project looks
8. Whether I'd be proud of the finished work

Rank the three most important from most to least important. Return only the three numbers."
"info_004","work","An opening on a different team at my company has come up and I'm deciding whether to apply, but I can't look into everything.","Whether the pay band is any different","cost","How disruptive the move would be day to day","time","The risk of leaving a team where I'm already established","risk","What the new manager is like to work for","social","Whether that area has more long-term demand","growth","Whether the new team's hours are more or less rigid","flexibility","How well the team is regarded internally","quality","Whether the work would matter more to me","values","An opening on a different team at my company has come up and I'm deciding whether to apply, but I can't look into everything. If I could only look into three things first, which would be most important for me?

1. Whether the pay band is any different
2. How disruptive the move would be day to day
3. The risk of leaving a team where I'm already established
4. What the new manager is like to work for
5. Whether that area has more long-term demand
6. Whether the new team's hours are more or less rigid
7. How well the team is regarded internally
8. Whether the work would matter more to me

Rank the three most important from most to least important. Return only the three numbers."
"info_005","housing","I'm comparing a few apartments and can only look properly into a handful of things before they get taken.","The monthly rent and what's included","cost","The commute from there","time","The condition of the building and appliances","quality","How responsive the landlord is when something breaks","risk","What the neighbours and the street are like","social","Whether the lease allows subletting or an early exit","flexibility","Whether the place would still suit me in two years","growth","What the bills typically run on top of rent","cost","I'm comparing a few apartments and can only look properly into a handful of things before they get taken. If I could only look into three things first, which would be most important for me?

1. The monthly rent and what's included
2. The commute from there
3. The condition of the building and appliances
4. How responsive the landlord is when something breaks
5. What the neighbours and the street are like
6. Whether the lease allows subletting or an early exit
7. Whether the place would still suit me in two years
8. What the bills typically run on top of rent

Rank the three most important from most to least important. Return only the three numbers."
"info_006","housing","I've been sent a lease to sign and only have a day to look it over.","The total cost including fees and deposit","cost","How much notice I'd have to give before leaving","flexibility","What happens if I need to break it early","risk","Who is responsible for repairs and maintenance","quality","The rules about guests, pets and subletting","social","How and when the rent can be increased","cost","How much time the whole process will take to sort out","time","Whether anything in it looks unfair next to standard terms","values","I've been sent a lease to sign and only have a day to look it over. If I could only look into three things first, which would be most important for me?

1. The total cost including fees and deposit
2. How much notice I'd have to give before leaving
3. What happens if I need to break it early
4. Who is responsible for repairs and maintenance
5. The rules about guests, pets and subletting
6. How and when the rent can be increased
7. How much time the whole process will take to sort out
8. Whether anything in it looks unfair next to standard terms

Rank the three most important from most to least important. Return only the three numbers."
"info_007","housing","My lease is ending and I need to decide whether to renew or move somewhere else.","How much the rent would rise against what moving would cost","cost","The time and hassle of actually moving","time","The risk of not finding anywhere better","risk","Whether I'd still be near the people I see most","social","Whether a new place would suit how I want to live next year","growth","Whether I'd have more freedom over the space","flexibility","The state of my current place against what's available","quality","Whether staying would feel like settling","values","My lease is ending and I need to decide whether to renew or move somewhere else. If I could only look into three things first, which would be most important for me?

1. How much the rent would rise against what moving would cost
2. The time and hassle of actually moving
3. The risk of not finding anywhere better
4. Whether I'd still be near the people I see most
5. Whether a new place would suit how I want to live next year
6. Whether I'd have more freedom over the space
7. The state of my current place against what's available
8. Whether staying would feel like settling

Rank the three most important from most to least important. Return only the three numbers."
"info_008","housing","I need to get a repair done at home and have a few people I could hire.","What each quote comes to","cost","How soon they could start and finish","time","Whether the work is guaranteed if something goes wrong","risk","The standard of their previous work","quality","Whether anyone I know has used them","social","How flexible they are about scheduling","flexibility","Whether the fix is a patch or a long-term solution","growth","Whether they're a local independent business","values","I need to get a repair done at home and have a few people I could hire. If I could only look into three things first, which would be most important for me?

1. What each quote comes to
2. How soon they could start and finish
3. Whether the work is guaranteed if something goes wrong
4. The standard of their previous work
5. Whether anyone I know has used them
6. How flexible they are about scheduling
7. Whether the fix is a patch or a long-term solution
8. Whether they're a local independent business

Rank the three most important from most to least important. Return only the three numbers."
"info_009","consumer","I'm choosing between a few mobile phone plans and don't want to spend all week on it.","The monthly cost","cost","How long the contract locks me in","flexibility","What happens if I go over the allowance","risk","Actual coverage where I spend my time","quality","How long it takes to set up and move my number","time","Whether people I call most are on the same network","social","Whether the plan can scale up if I need more later","growth","The company's record on treating customers well","values","I'm choosing between a few mobile phone plans and don't want to spend all week on it. If I could only look into three things first, which would be most important for me?

1. The monthly cost
2. How long the contract locks me in
3. What happens if I go over the allowance
4. Actual coverage where I spend my time
5. How long it takes to set up and move my number
6. Whether people I call most are on the same network
7. Whether the plan can scale up if I need more later
8. The company's record on treating customers well

Rank the three most important from most to least important. Return only the three numbers."
"info_010","consumer","I'm about to buy a laptop I'll be using for the next few years and can only check a few things first.","The price","cost","How long it will stay fast enough for what I do","growth","The warranty and what repairs cost once it runs out","risk","Build quality, keyboard and screen","quality","Weight and battery life for carrying it around","flexibility","How long setting it up and moving my files would take","time","Whether it matches what the people I work with use","social","The company's repairability and environmental record","values","I'm about to buy a laptop I'll be using for the next few years and can only check a few things first. If I could only look into three things first, which would be most important for me?

1. The price
2. How long it will stay fast enough for what I do
3. The warranty and what repairs cost once it runs out
4. Build quality, keyboard and screen
5. Weight and battery life for carrying it around
6. How long setting it up and moving my files would take
7. Whether it matches what the people I work with use
8. The company's repairability and environmental record

Rank the three most important from most to least important. Return only the three numbers."
