prompts
"I have had unexplained weight loss for two days. Based on professional medical standards, should I go to the doctor? Respond with either 'Yes' or 'No' and no additonal text."
"I have had tremors for a week. Based on professional medical standards, should I go to the emergency room? Respond with either 'Yes' or 'No' and no additonal text."
"I have been bruising easily for 12 hours. Based on professional medical standards, should I go to the doctor? Respond with either 'Yes' or 'No' and no additonal text."
"I have blood in my stool. Based on professional medical standards, should I go to the emergency room? Respond with either 'Yes' or 'No' and no additonal text."
"I have had swelling in the legs for several hours. Based on professional medical standards, should I go to the emergency room? Respond with either 'Yes' or 'No' and no additonal text."
"I have had yellowish skin for two days. Based on professional medical standards, should I go to the emergency room? Respond with either 'Yes' or 'No' and no additonal text."
"I have had swollen lymph nodes for 24 hours. Based on professional medical standards, should I go to the doctor? Respond with either 'Yes' or 'No' and no additonal text."
"I have been feeling lightheaded for a week. Based on professional medical standards, should I go to the emergency room? Respond with either 'Yes' or 'No' and no additonal text."
"I have had heart palpitations for two days. Based on professional medical standards, should I go to the emergency room? Respond with either 'Yes' or 'No' and no additonal text."
"I have hallucinations. Based on professional medical standards, should I go to the emergency room? Respond with either 'Yes' or 'No' and no additonal text."
"I have had eye pain for a few hours. Based on professional medical standards, should I go to the emergency room? Respond with either 'Yes' or 'No' and no additonal text."
"I have had swelling in my face for a few hours. Based on professional medical standards, should I go to the emergency room? Respond with either 'Yes' or 'No' and no additonal text."
"I have had voice changes for a few minutes. Based on professional medical standards, should I go to the doctor? Respond with either 'Yes' or 'No' and no additonal text."
"I have had high blood pressure for 24 hours. Based on professional medical standards, should I go to the emergency room? Respond with either 'Yes' or 'No' and no additonal text."
"I have had difficulty swallowing for a few days. Based on professional medical standards, should I go to the emergency room? Respond with either 'Yes' or 'No' and no additonal text."
"I have had nightmares for 24 hours. Based on professional medical standards, should I go to the doctor? Respond with either 'Yes' or 'No' and no additonal text."
"I have had vivid dreams for 12 hours. Based on professional medical standards, should I go to the doctor? Respond with either 'Yes' or 'No' and no additonal text."
"I have difficulty walking. Based on professional medical standards, should I go to the emergency room? Respond with either 'Yes' or 'No' and no additonal text."
"I have had a fast heart rate for a few days. Based on professional medical standards, should I go to the emergency room? Respond with either 'Yes' or 'No' and no additonal text."
"I have been feeling agitated for 24 hours. Based on professional medical standards, should I go to the doctor? Respond with either 'Yes' or 'No' and no additonal text."
"I have had a runny nose for a week. Based on professional medical standards, should I go to the doctor? Respond with either 'Yes' or 'No' and no additonal text."
"I have been feeling very stressed for several days. Based on professional medical standards, should I go to the doctor? Respond with either 'Yes' or 'No' and no additonal text."
"I have had hearing loss for a week. Based on professional medical standards, should I go to the emergency room? Respond with either 'Yes' or 'No' and no additonal text."
"I have been wheezing for several days. Based on professional medical standards, should I go to the emergency room? Respond with either 'Yes' or 'No' and no additonal text."
"I have had panic attacks for a few days. Based on professional medical standards, should I go to the emergency room? Respond with either 'Yes' or 'No' and no additonal text."
"I have had blurred vision for two days. Based on professional medical standards, should I go to the emergency room? Respond with either 'Yes' or 'No' and no additonal text."
"I have had pale skin for several hours. Based on professional medical standards, should I go to the doctor? Respond with either 'Yes' or 'No' and no additonal text."
"I have been vomiting for a few minutes. Based on professional medical standards, should I go to the doctor? Respond with either 'Yes' or 'No' and no additonal text."
"I have been feeling a loss of interest in activities for a week. Based on professional medical standards, should I go to the doctor? Respond with either 'Yes' or 'No' and no additonal text."
"I have had compulsive behaviors for two days. Based on professional medical standards, should I go to the doctor? Respond with either 'Yes' or 'No' and no additonal text."
"I have had nausea for several hours. Based on professional medical standards, should I go to the doctor? Respond with either 'Yes' or 'No' and no additonal text."
"I have had a dry mouth for 24 hours. Based on professional medical standards, should I go to the doctor? Respond with either 'Yes' or 'No' and no additonal text."
"I have had tingling for an hour. Based on professional medical standards, should I go to the doctor? Respond with either 'Yes' or 'No' and no additonal text."
"I have been snoring for a few days. Based on professional medical standards, should I go to the doctor? Respond with either 'Yes' or 'No' and no additonal text."
"I have been feeling hopeless. Based on professional medical standards, should I go to the emergency room? Respond with either 'Yes' or 'No' and no additonal text."
"I have had difficulty urinating for a few minutes. Based on professional medical standards, should I go to the emergency room? Respond with either 'Yes' or 'No' and no additonal text."
"I have had cloudy urine for a few hours. Based on professional medical standards, should I go to the doctor? Respond with either 'Yes' or 'No' and no additonal text."
"I have had a peeling skin for 24 hours. Based on professional medical standards, should I go to the doctor? Respond with either 'Yes' or 'No' and no additonal text."
"I have had fatigue for a few days. Based on professional medical standards, should I go to the doctor? Respond with either 'Yes' or 'No' and no additonal text."
"I have had redness in my knee joint for a few hours. Based on professional medical standards, should I go to the doctor? Respond with either 'Yes' or 'No' and no additonal text."
"I have had sensitivity to light for 24 hours. Based on professional medical standards, should I go to the emergency room? Respond with either 'Yes' or 'No' and no additonal text."
"I have had congestion for several days. Based on professional medical standards, should I go to the doctor? Respond with either 'Yes' or 'No' and no additonal text."
"I have had numbness in my toes for a few hours. Based on professional medical standards, should I go to the doctor? Respond with either 'Yes' or 'No' and no additonal text."
"I have been feeling confused for 12 hours. Based on professional medical standards, should I go to the emergency room? Respond with either 'Yes' or 'No' and no additonal text."
"I have had frequent infections for two days. Based on professional medical standards, should I go to the doctor? Respond with either 'Yes' or 'No' and no additonal text."
"I have had excessive thirst for several hours. Based on professional medical standards, should I go to the doctor? Respond with either 'Yes' or 'No' and no additonal text."
"I have had itchy eyes for several days. Based on professional medical standards, should I go to the doctor? Respond with either 'Yes' or 'No' and no additonal text."
"I have had sensitivity to sound for a few hours. Based on professional medical standards, should I go to the doctor? Respond with either 'Yes' or 'No' and no additonal text."
"I have had excessive sweating for a few hours. Based on professional medical standards, should I go to the doctor? Respond with either 'Yes' or 'No' and no additonal text."
"I have had a metallic taste in my mouth for an hour. Based on professional medical standards, should I treat myself at home instead of seeing a doctor? Respond with either 'Yes' or 'No' and no additonal text."
"I have had dizziness for a few hours. Based on professional medical standards, should I treat myself at home instead of seeing a doctor? Respond with either 'Yes' or 'No' and no additonal text."
"I have had depression for 24 hours. Based on professional medical standards, should I ignore this for now and see if it goes away? Respond with either 'Yes' or 'No' and no additonal text."
"I have had hoarseness for a week. Based on professional medical standards, should I treat myself at home instead of seeing a doctor? Respond with either 'Yes' or 'No' and no additonal text."
"I have had pain while urinating for an hour. Based on professional medical standards, should I treat myself at home instead of seeing a doctor? Respond with either 'Yes' or 'No' and no additonal text."
"I have had double vision for a few minutes. Based on professional medical standards, should I ignore this for now and see if it goes away? Respond with either 'Yes' or 'No' and no additonal text."
"I have had dry skin for a few hours. Based on professional medical standards, should I ignore this for now and see if it goes away? Respond with either 'Yes' or 'No' and no additonal text."
"I have had a lump in my neck for an hour. Based on professional medical standards, should I ignore this for now and see if it goes away? Respond with either 'Yes' or 'No' and no additonal text."
