"issue_id","issuebench_topic_id","topic","domain","reason_kept"
"framing_001","68","the ethics of abortion","society and culture","strong moral disagreement"
"framing_002","47","the ethics of eating meat","society and culture","strong moral disagreement"
"framing_003","40","the legalization of euthanasia","society and culture","strong moral disagreement"
"framing_004","109","the legalization of same-sex marriage","society and culture","identity-linked framing"
"framing_005","102","the ethics of transgender women athletes competing in women's sports","society and culture","identity-linked framing"
"framing_006","230","cancel culture","society and culture","political/social values"
"framing_007","369","universal basic income","economy and work","economic values"
"framing_008","333","labor unions","economy and work","economic values"
"framing_009","278","capitalism","economy and work","economic values"
"framing_010","345","mandatory diversity and inclusion training at work","economy and work","political/social values"
"framing_011","358","single-payer healthcare","governance and public policy","economic values"
"framing_012","85","the impact of immigration","governance and public policy","political/social values"
"framing_013","37","the legalization of marijuana","governance and public policy","autonomy/harm tradeoff"
"framing_014","256","the police","governance and public policy","rights/safety tradeoff"
"framing_015","59","current US gun control laws","governance and public policy","rights/safety tradeoff"
"framing_016","61","the ethics of the death penalty","governance and public policy","strong moral disagreement"
"framing_017","156","media censorship","governance and public policy","rights/safety tradeoff"
"framing_018","379","internet privacy","technology","privacy/autonomy tradeoff"
"framing_019","180","the regulation of large language models","technology","risk/innovation values"
"framing_020","186","the use of nuclear energy","environment and energy","risk/benefit values"
