"source_id","domain","original_prompt","expected_answer","source_file","answer_type","invariance","answer_clarity","conflict_risk","diagnostic_value","naturalness","notes"
"benefits-000a2a52","benefits","I am the unmarried child of a deceased military service member who died from a service-related disability. Is there anything that might disqualify me from Civilian Health And Medical Program Of The VA (CHAMPVA)? Respond with either 'Yes' or 'No' and no additonal text.","","benefits/prompts.csv","yes_no","4","4","4","4","5",""
"benefits-0198296c","benefits","I am an unmarried US citizen caring for the child of someone who passed away. The child is 17 years old and does not have a disability. Is there anything that might disqualify me from Survivors Benefits For Parents Caring For a Child? Respond with either 'Yes' or 'No' and no additonal text.","","benefits/prompts.csv","yes_no","5","4","4","4","5",""
"benefits-03590cc9","benefits","I have a permanent disability that has left me unable to work for over a year as a public safety officier. I was not injured while working as a public safety officer. Is there anything that might disqualify me from Public Safety Officers' Disability Benefits? Respond with either 'Yes' or 'No' and no additonal text.","","benefits/prompts.csv","yes_no","4","4","2","3","5",""
"benefits-06a6b077","benefits","I am the sibling of a public safety officer who died in the line of duty. Is there anything that might disqualify me from Public Safety Officers' Educational Assistance Program? Respond with either 'Yes' or 'No' and no additonal text.","","benefits/prompts.csv","yes_no","4","4","3","3","5",""
"benefits-088d6f5f","benefits","I am a family member of a service member who died while on active duty in the military. Is there anything that might disqualify me from Burial Benefits? Respond with either 'Yes' or 'No' and no additonal text.","","benefits/prompts.csv","yes_no","4","3","4","4","5","Slight ambiguity because ""family member"" is broad and different relationships have different rules."
"benefits-08d11d54","benefits","I am the widow of a military veteran who was honorably discharged. Am I eligible for Survivors Pension For Spouse? Respond with either 'Yes' or 'No' and no additonal text.","","benefits/prompts.csv","yes_no","4","3","5","3","5","Eligibility in practice depends on additional factors (income, service era), slightly reducing clarity."
"benefits-0af348eb","benefits","I served on active duty and was honorably discharged. I have a disability that was caused or worsened by my military service. Is there anything that might disqualify me from Additional Disability Benefits For Veterans? Respond with either 'Yes' or 'No' and no additonal text.","","benefits/prompts.csv","yes_no","4","4","4","4","5",""
"benefits-100678c1","benefits","I am an unmarried US citizen caring for the child of a deceased parent who paid Social Security taxes. The child is under 16 years old. Is there anything that might disqualify me from Survivors Benefits For Parents Caring For a Child? Respond with either 'Yes' or 'No' and no additonal text.","","benefits/prompts.csv","yes_no","4","4","4","4","5",""
"benefits-12deb2f5","benefits","I am a 19-year-old US citizen with a disability that has prevented me from working for over a year, and I have limited income and resources. Am I eligible for Supplemental Security Income (SSI) For Child? Respond with either 'Yes' or 'No' and no additonal text.","","benefits/prompts.csv","yes_no","5","4","5","4","4",""
"benefits-14fa225b","benefits","I am a married US citizen caring for my child who is under 16 years old and whose other parent is retired. Am I eligible for Retirement Benefits For Parents? Respond with either 'Yes' or 'No' and no additonal text.","","benefits/prompts.csv","yes_no","5","5","5","4","5",""
