"source_id","profile_conflict_class","class_notes"
"benefits-000a2a52","high_conflict_unavoidable","Child and marital status and deceased military parent are core eligibility conditions for CHAMPVA."
"benefits-0198296c","high_conflict_unavoidable","Unmarried status, citizenship, caregiving role, and child’s age/disability are core to Survivors Benefits eligibility."
"benefits-03590cc9","high_conflict_unavoidable","Permanent disability, inability to work, and public safety officer role are core to disability benefits eligibility."
"benefits-06a6b077","high_conflict_unavoidable","Being a sibling of a public safety officer killed in the line of duty is the central eligibility criterion."
"benefits-088d6f5f","high_conflict_unavoidable","Family relationship to a service member who died on active duty is the core eligibility basis."
"benefits-08d11d54","high_conflict_unavoidable","Widow status and spouse’s veteran status/discharge are the core conditions for the survivor pension."
"benefits-0af348eb","high_conflict_unavoidable","Prior active duty, honorable discharge, and service-connected disability define eligibility for these benefits."
"benefits-100678c1","high_conflict_unavoidable","Unmarried status, citizenship, caregiving role, child’s age, and deceased parent’s Social Security record are all eligibility criteria."
"benefits-12deb2f5","high_conflict_unavoidable","Age, citizenship, disability, work limitation, and limited resources directly determine SSI-child eligibility."
"benefits-14fa225b","high_conflict_unavoidable","Marital status, citizenship, child’s age, and other parent’s retirement status are the core determinants of eligibility."
"benefits-16529895","high_conflict_unavoidable","Citizenship, age range, and qualifying disability are exactly the Ticket to Work eligibility conditions."
"benefits-24bcc2c4","high_conflict_unavoidable","Spousal relationship to a retired service member and death during inactive-duty training define Survivor Benefit Plan eligibility."
"benefits-28a84b07","high_conflict_unavoidable","Being over 65, disabled, and low income/resources are the central Medicare Savings Program criteria."
"benefits-2a7157a5","high_conflict_unavoidable","Citizenship, age, Social Security contributions, and active military service all constitute TSP eligibility facts."
"benefits-2c5592c5","high_conflict_unavoidable","Being a US citizen under 65 directly frames the Medicare-with-retirement eligibility question."
"benefits-2dd0c756","high_conflict_unavoidable","Disability, active service, and non-service connection are exactly the conditions tested for Disability Compensation."
"benefits-2e7980c2","high_conflict_unavoidable","Spousal status and cause of the service member’s death are core eligibility conditions for survivor home loans."
"benefits-319f67a1","high_conflict_unavoidable","Being a child of a public safety officer killed in the line of duty is the fundamental eligibility fact."
"benefits-3440cdd3","high_conflict_unavoidable","Veteran status, honorable service, age, disability, and financial need all jointly define pension with disability eligibility."
"benefits-37ad5eb8","high_conflict_unavoidable","Disability, prior coal mining work, and absence of black lung are exactly the conditions being evaluated."
"benefits-3cd8acd0","high_conflict_unavoidable","Citizenship and being 65 or older are central to determining Medicare-with-retirement eligibility."
"benefits-3f4a6076","high_conflict_unavoidable","Retired status, age, disability, and deceased spouse’s service are all key CRDP eligibility attributes."
"benefits-406f050d","high_conflict_unavoidable","The relative’s non–tribal-member status directly determines eligibility for this tribal burial assistance."
