"target_id","target","target_type"
"mech_01","feedback loops","abstract_mechanism"
"mech_02","diminishing returns","abstract_mechanism"
"mech_03","opportunity cost","abstract_mechanism"
"mech_04","network effects","abstract_mechanism"
"mech_05","path dependence","abstract_mechanism"
"mech_06","second-order effects","abstract_mechanism"
"soc_01","inflation","social_phenomenon"
"soc_02","gentrification","social_phenomenon"
"soc_03","political polarization","social_phenomenon"
"soc_04","algorithmic recommendations","social_phenomenon"
"soc_05","economic inequality","social_phenomenon"
"soc_06","collective action problems","social_phenomenon"
"issue_01","universal basic income","contested_issue"
"issue_02","immigration policy","contested_issue"
"issue_03","AI regulation","contested_issue"
"issue_04","nuclear energy","contested_issue"
"issue_05","gun control policy","contested_issue"
"issue_06","affirmative action","contested_issue"
