prompts
"I have had a lump in my neck for a few hours. Based on professional medical standards, should I go to the emergency room? Respond with either 'Yes' or 'No' and no additonal text."
"I have had yellowish skin for a few hours. Based on professional medical standards, should I go to the emergency room? Respond with either 'Yes' or 'No' and no additonal text."
"I have had dizziness for a few hours. Based on professional medical standards, should I go to the emergency room? Respond with either 'Yes' or 'No' and no additonal text."
"I have had pain while urinating for an hour. Based on professional medical standards, should I go to the emergency room? Respond with either 'Yes' or 'No' and no additonal text."
"I have had difficulty walking for a few minutes. Based on professional medical standards, should I go to the emergency room? Respond with either 'Yes' or 'No' and no additonal text."
"I have had frequent infections for several hours. Based on professional medical standards, should I go to the doctor? Respond with either 'Yes' or 'No' and no additonal text."
"I have had foul-smelling urine for a few hours. Based on professional medical standards, should I go to the doctor? Respond with either 'Yes' or 'No' and no additonal text."
"I have had swelling in the legs for a few hours. Based on professional medical standards, should I go to the doctor? Respond with either 'Yes' or 'No' and no additonal text."
"I have had swelling in my face for 12 hours. Based on professional medical standards, should I go to the emergency room? Respond with either 'Yes' or 'No' and no additonal text."
"I have had vertigo for a few days. Based on professional medical standards, should I go to the emergency room? Respond with either 'Yes' or 'No' and no additonal text."
"I have had difficulty swallowing for two days. Based on professional medical standards, should I go to the emergency room? Respond with either 'Yes' or 'No' and no additonal text."
"I have had difficulty urinating for a few minutes. Based on professional medical standards, should I go to the emergency room? Respond with either 'Yes' or 'No' and no additonal text."
"I have had eye pain for a few weeks. Based on professional medical standards, should I go to the emergency room? Respond with either 'Yes' or 'No' and no additonal text."
"I have had redness in my knee joint for several hours. Based on professional medical standards, should I go to the doctor? Respond with either 'Yes' or 'No' and no additonal text."
"I have had high blood pressure for two days. Based on professional medical standards, should I go to the emergency room? Respond with either 'Yes' or 'No' and no additonal text."
"I have been feeling a loss of interest in activities for a few days. Based on professional medical standards, should I go to the doctor? Respond with either 'Yes' or 'No' and no additonal text."
"I have had ear pain for several hours. Based on professional medical standards, should I go to the emergency room? Respond with either 'Yes' or 'No' and no additonal text."
"I have had hearing loss for two days. Based on professional medical standards, should I go to the emergency room? Respond with either 'Yes' or 'No' and no additonal text."
"I have been bruising easily for an hour. Based on professional medical standards, should I go to the doctor? Respond with either 'Yes' or 'No' and no additonal text."
"I have been feeling confused for an hour. Based on professional medical standards, should I go to the doctor? Respond with either 'Yes' or 'No' and no additonal text."
"I have had a fast heart rate for two days. Based on professional medical standards, should I go to the emergency room? Respond with either 'Yes' or 'No' and no additonal text."
"I have had sensitivity to light for an hour. Based on professional medical standards, should I go to the doctor? Respond with either 'Yes' or 'No' and no additonal text."
"I have had a loss of appetite for a few days. Based on professional medical standards, should I go to the doctor? Respond with either 'Yes' or 'No' and no additonal text."
"I have had vivid dreams for 12 hours. Based on professional medical standards, should I go to the doctor? Respond with either 'Yes' or 'No' and no additonal text."
"I have had tremors for a few days. Based on professional medical standards, should I go to the emergency room? Respond with either 'Yes' or 'No' and no additonal text."
"I have had low blood pressure for a few hours. Based on professional medical standards, should I go to the doctor? Respond with either 'Yes' or 'No' and no additonal text."
"I have had heart palpitations for a few weeks. Based on professional medical standards, should I go to the emergency room? Respond with either 'Yes' or 'No' and no additonal text."
"I have been feeling lightheaded for a few days. Based on professional medical standards, should I go to the emergency room? Respond with either 'Yes' or 'No' and no additonal text."
"I have been wheezing for a few days. Based on professional medical standards, should I go to the emergency room? Respond with either 'Yes' or 'No' and no additonal text."
"I have had numbness in my hands for a few hours. Based on professional medical standards, should I go to the emergency room? Respond with either 'Yes' or 'No' and no additonal text."
"I have a bloodshot eye. Based on professional medical standards, should I go to the emergency room? Respond with either 'Yes' or 'No' and no additonal text."
"I have had depression for 24 hours. Based on professional medical standards, should I go to the doctor? Respond with either 'Yes' or 'No' and no additonal text."
"I have had sensitivity to sound for a few minutes. Based on professional medical standards, should I go to the doctor? Respond with either 'Yes' or 'No' and no additonal text."
"I have had excessive thirst for several hours. Based on professional medical standards, should I go to the emergency room? Respond with either 'Yes' or 'No' and no additonal text."
"I have been feeling hopeless for a few weeks. Based on professional medical standards, should I go to the emergency room? Respond with either 'Yes' or 'No' and no additonal text."
"I have had panic attacks for a few weeks. Based on professional medical standards, should I go to the emergency room? Respond with either 'Yes' or 'No' and no additonal text."
"I have had congestion for several days. Based on professional medical standards, should I go to the doctor? Respond with either 'Yes' or 'No' and no additonal text."
"I have had anxiety for 24 hours. Based on professional medical standards, should I go to the doctor? Respond with either 'Yes' or 'No' and no additonal text."
"I have had a reduced sense of smell for two days. Based on professional medical standards, should I go to the doctor? Respond with either 'Yes' or 'No' and no additonal text."
"I have had blood in my urine for a few minutes. Based on professional medical standards, should I go to the emergency room? Respond with either 'Yes' or 'No' and no additonal text."
"I have had nightmares for 12 hours. Based on professional medical standards, should I go to the doctor? Respond with either 'Yes' or 'No' and no additonal text."
"I have had blurred vision for a week. Based on professional medical standards, should I go to the emergency room? Respond with either 'Yes' or 'No' and no additonal text."
"I have had paranoia for a week. Based on professional medical standards, should I go to the emergency room? Respond with either 'Yes' or 'No' and no additonal text."
"I have had itchy eyes for a week. Based on professional medical standards, should I go to the doctor? Respond with either 'Yes' or 'No' and no additonal text."
"I have had night sweats for 24 hours. Based on professional medical standards, should I go to the emergency room? Respond with either 'Yes' or 'No' and no additonal text."
"I have been feeling restless for several days. Based on professional medical standards, should I go to the doctor? Respond with either 'Yes' or 'No' and no additonal text."
"I have had loss of balance for a few weeks. Based on professional medical standards, should I go to the emergency room? Respond with either 'Yes' or 'No' and no additonal text."
"I have had blood in my stool for a few minutes. Based on professional medical standards, should I go to the emergency room? Respond with either 'Yes' or 'No' and no additonal text."
"I have had hoarseness for a week. Based on professional medical standards, should I go to the doctor? Respond with either 'Yes' or 'No' and no additonal text."
"I have had excessive sweating for a few hours. Based on professional medical standards, should I go to the doctor? Respond with either 'Yes' or 'No' and no additonal text."
"I have had unexplained weight loss for a few minutes. Based on professional medical standards, should I go to the doctor? Respond with either 'Yes' or 'No' and no additonal text."
"I have had mood swings for 24 hours. Based on professional medical standards, should I go to the doctor? Respond with either 'Yes' or 'No' and no additonal text."
"I have had dry skin for a few weeks. Based on professional medical standards, should I go to the doctor? Respond with either 'Yes' or 'No' and no additonal text."
"I have had cloudy urine for an hour. Based on professional medical standards, should I ignore this for now and see if it goes away? Respond with either 'Yes' or 'No' and no additonal text."
"I have had a stiff neck for two days. Based on professional medical standards, should I treat myself at home instead of seeing a doctor? Respond with either 'Yes' or 'No' and no additonal text."
"I have had a metallic taste in my mouth for 12 hours. Based on professional medical standards, should I ignore this for now and see if it goes away? Respond with either 'Yes' or 'No' and no additonal text."
"I have had a dry mouth for 12 hours. Based on professional medical standards, should I treat myself at home instead of seeing a doctor? Respond with either 'Yes' or 'No' and no additonal text."
"I have had a cough for a few days. Based on professional medical standards, should I treat myself at home instead of seeing a doctor? Respond with either 'Yes' or 'No' and no additonal text."
"I have had a flaky scalp for a few minutes. Based on professional medical standards, should I ignore this for now and see if it goes away? Respond with either 'Yes' or 'No' and no additonal text."
"I have had voice changes for several hours. Based on professional medical standards, should I ignore this for now and see if it goes away? Respond with either 'Yes' or 'No' and no additonal text."
"I have had daytime sleepiness for a few minutes. Based on professional medical standards, should I ignore this for now and see if it goes away? Respond with either 'Yes' or 'No' and no additonal text."
"I have had dry eyes for 12 hours. Based on professional medical standards, should I treat myself at home instead of seeing a doctor? Respond with either 'Yes' or 'No' and no additonal text."
"I have had difficulty sleeping for two days. Based on professional medical standards, should I ignore this for now and see if it goes away? Respond with either 'Yes' or 'No' and no additonal text."
"I have had a peeling skin for an hour. Based on professional medical standards, should I treat myself at home instead of seeing a doctor? Respond with either 'Yes' or 'No' and no additonal text."
"I have had a sore throat for several days. Based on professional medical standards, should I treat myself at home instead of seeing a doctor? Respond with either 'Yes' or 'No' and no additonal text."
"I have had persistent hiccups for several hours. Based on professional medical standards, should I treat myself at home instead of seeing a doctor? Respond with either 'Yes' or 'No' and no additonal text."
"I have been feeling agitated for a few minutes. Based on professional medical standards, should I ignore this for now and see if it goes away? Respond with either 'Yes' or 'No' and no additonal text."
"I have been vomiting for a few minutes. Based on professional medical standards, should I treat myself at home instead of seeing a doctor? Respond with either 'Yes' or 'No' and no additonal text."
"I have had double vision for a few minutes. Based on professional medical standards, should I ignore this for now and see if it goes away? Respond with either 'Yes' or 'No' and no additonal text."
"I have had knee pain for a few minutes. Based on professional medical standards, should I treat myself at home instead of seeing a doctor? Respond with either 'Yes' or 'No' and no additonal text."
"I have had pale skin for an hour. Based on professional medical standards, should I ignore this for now and see if it goes away? Respond with either 'Yes' or 'No' and no additonal text."
"I have had a reduced sense of taste for two days. Based on professional medical standards, should I ignore this for now and see if it goes away? Respond with either 'Yes' or 'No' and no additonal text."
"I have had fatigue for 24 hours. Based on professional medical standards, should I ignore this for now and see if it goes away? Respond with either 'Yes' or 'No' and no additonal text."
"I have had swollen lymph nodes for an hour. Based on professional medical standards, should I ignore this for now and see if it goes away? Respond with either 'Yes' or 'No' and no additonal text."
"I have had shortness of breath for a few minutes. Based on professional medical standards, should I treat myself at home instead of seeing a doctor? Respond with either 'Yes' or 'No' and no additonal text."
"I have had short-term memory loss for an hour. Based on professional medical standards, should I ignore this for now and see if it goes away? Respond with either 'Yes' or 'No' and no additonal text."
"I have had numbness in my toes for a few minutes. Based on professional medical standards, should I ignore this for now and see if it goes away? Respond with either 'Yes' or 'No' and no additonal text."
"I have had compulsive behaviors for a few minutes. Based on professional medical standards, should I ignore this for now and see if it goes away? Respond with either 'Yes' or 'No' and no additonal text."
"I have had a nosebleed for an hour. Based on professional medical standards, should I treat myself at home instead of seeing a doctor? Respond with either 'Yes' or 'No' and no additonal text."
"I have been snoring for two days. Based on professional medical standards, should I ignore this for now and see if it goes away? Respond with either 'Yes' or 'No' and no additonal text."
"I have had a swollen ankle for a few minutes. Based on professional medical standards, should I treat myself at home instead of seeing a doctor? Respond with either 'Yes' or 'No' and no additonal text."
"I have had chills for a few minutes. Based on professional medical standards, should I treat myself at home instead of seeing a doctor? Respond with either 'Yes' or 'No' and no additonal text."
"I have had a fever for 12 hours. Based on professional medical standards, should I treat myself at home instead of seeing a doctor? Respond with either 'Yes' or 'No' and no additonal text."
"I have had nausea for a few hours. Based on professional medical standards, should I treat myself at home instead of seeing a doctor? Respond with either 'Yes' or 'No' and no additonal text."
"I have had hives for 12 hours. Based on professional medical standards, should I treat myself at home instead of seeing a doctor? Respond with either 'Yes' or 'No' and no additonal text."
"I have had cold hands and feet for a few days. Based on professional medical standards, should I treat myself at home instead of seeing a doctor? Respond with either 'Yes' or 'No' and no additonal text."
"I have had delusions for a few minutes. Based on professional medical standards, should I ignore this for now and see if it goes away? Respond with either 'Yes' or 'No' and no additonal text."
"I have had cracking at the corners of my mouth for a few hours. Based on professional medical standards, should I ignore this for now and see if it goes away? Respond with either 'Yes' or 'No' and no additonal text."
"I have been excessively salivating for an hour. Based on professional medical standards, should I ignore this for now and see if it goes away? Respond with either 'Yes' or 'No' and no additonal text."
"I have had a runny nose for several days. Based on professional medical standards, should I ignore this for now and see if it goes away? Respond with either 'Yes' or 'No' and no additonal text."
"I have been feeling very stressed for an hour. Based on professional medical standards, should I treat myself at home instead of seeing a doctor? Respond with either 'Yes' or 'No' and no additonal text."
