prompts
"I live in Hanover, New Hampshire. I work over 40 hours a week but don’t get paid overtime. Is my employer breaking the law? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Cheyenne, Wyoming. I applied for a job and was rejected because of a past bankruptcy. Is that legal? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Marfa, Texas. I was fired from my job without any warning. Was that illegal? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Jackson, Mississippi. Is it legal for my employer to fire me for discussing my salary with coworkers? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Hanalei, Hawaii. My employer requires me to work on federal holidays without extra pay. Is that illegal? Respond with either 'Yes' or 'No' and no additonal text."
"I live in New Shoreham, Rhode Island. My employer is requiring all employees to sign a non-compete agreement. Is that legal? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Los Angeles, California. Is it illegal for my employer to pay me less because I am an independent contractor? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Portland, Maine. Is it legal for my employer to require me to take a drug test? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Camden, Maine. Is it illegal for a potential employer to require me to disclose my salary history? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Buffalo, Wyoming. Is it legal for my employer fire me for taking medical leave? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Monroeville, Alabama. I found out my employer is paying me less than my coworker who is a different race than me for the same job. Is that illegal? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Blue Ridge, Georgia. Can my boss legally deduct money from my paycheck for a mistake I made? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Las Vegas, Nevada. Is it illegal for me to be fired for taking medical leave under the Family and Medical Leave Act (FMLA)? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Oklahoma City, Oklahoma. Can my employer legally require me to work through my unpaid lunch break? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Newark, New Jersey. Is it illegal for my employer to fire me for posting something negative about them on social media? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Jackson, Mississippi. Can my boss fire me if I refuse to work in unsafe conditions? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Providence, Rhode Island. My employer requires me to wear a specific hairstyle as part of the dress code. Is that illegal? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Telluride, Colorado. Can my employer require me to disclose if I have a second job? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Hanalei, Hawaii. My employer requires that I give two weeks' notice before quitting. Is that illegal? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Jackson, Mississippi. Do I have to let my employer track my location through my phone? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Honolulu, Hawaii. I am a tenant and my building has no heat in the winter. Is my landlord required to fix it? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Abingdon, Virginia. I am a tenant, and my landlord won’t fix the plumbing. Am I still required to pay rent? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Hanalei, Hawaii. My landlord refuses to exterminate a pest infestation. Are they legally required to do so? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Jackson, Mississippi. I was denied an apartment because of my race. Is that legal? Respond with either 'Yes' or 'No' and no additonal text."
