"domain","scenario_id","scenario","option_1","option_1_category","option_2","option_2_category","option_3","option_3_category","option_4","option_4_category","option_5","option_5_category","option_6","option_6_category","option_7","option_7_category","option_8","option_8_category"
"work","work_new_job","I'm considering a new job opportunity, but I don't have time to look into everything before deciding whether to pursue it further.","Salary and compensation","cost","Work-life balance","time","Job stability","risk","Manager and team culture","social","Career growth opportunities","growth","Commute, location, and remote flexibility","flexibility","Health and retirement benefits","cost","Company mission and values","values"
"work","work_promotion","My manager has offered me a promotion and I need to give an answer soon, but I can't look into everything first.","The pay increase","cost","How many extra hours it would realistically take","time","How secure the role would be if the team is restructured","risk","That I'd be managing people I currently work alongside","social","Where the role could lead in a few years","growth","How much say I'd have over my own priorities","flexibility","The training and support that comes with it","quality","Whether the work itself is something I'd find meaningful","values"
"work","work_side_project","Someone has offered me a paid freelance project alongside my current job, and I need to decide whether to take it on.","What it pays relative to the hours involved","cost","How many evenings and weekends it would take up","time","Whether it could conflict with my current employer","risk","What the person I'd be working for is like","social","Whether it builds skills I want to have","growth","Whether I could set my own deadlines","flexibility","How well organised the project looks","quality","Whether I'd be proud of the finished work","values"
"work","work_internal_move","An opening on a different team at my company has come up and I'm deciding whether to apply, but I can't look into everything.","Whether the pay band is any different","cost","How disruptive the move would be day to day","time","The risk of leaving a team where I'm already established","risk","What the new manager is like to work for","social","Whether that area has more long-term demand","growth","Whether the new team's hours are more or less rigid","flexibility","How well the team is regarded internally","quality","Whether the work would matter more to me","values"
"housing","housing_compare_apartments","I'm comparing a few apartments and can only look properly into a handful of things before they get taken.","The monthly rent and what's included","cost","The commute from there","time","The condition of the building and appliances","quality","How responsive the landlord is when something breaks","risk","What the neighbours and the street are like","social","Whether the lease allows subletting or an early exit","flexibility","Whether the place would still suit me in two years","growth","What the bills typically run on top of rent","cost"
"housing","housing_lease_terms","I've been sent a lease to sign and only have a day to look it over.","The total cost including fees and deposit","cost","How much notice I'd have to give before leaving","flexibility","What happens if I need to break it early","risk","Who is responsible for repairs and maintenance","quality","The rules about guests, pets and subletting","social","How and when the rent can be increased","cost","How much time the whole process will take to sort out","time","Whether anything in it looks unfair next to standard terms","values"
"housing","housing_renew_or_move","My lease is ending and I need to decide whether to renew or move somewhere else.","How much the rent would rise against what moving would cost","cost","The time and hassle of actually moving","time","The risk of not finding anywhere better","risk","Whether I'd still be near the people I see most","social","Whether a new place would suit how I want to live next year","growth","Whether I'd have more freedom over the space","flexibility","The state of my current place against what's available","quality","Whether staying would feel like settling","values"
"housing","housing_repair_quote","I need to get a repair done at home and have a few people I could hire.","What each quote comes to","cost","How soon they could start and finish","time","Whether the work is guaranteed if something goes wrong","risk","The standard of their previous work","quality","Whether anyone I know has used them","social","How flexible they are about scheduling","flexibility","Whether the fix is a patch or a long-term solution","growth","Whether they're a local independent business","values"
"consumer","consumer_phone_plan","I'm choosing between a few mobile phone plans and don't want to spend all week on it.","The monthly cost","cost","How long the contract locks me in","flexibility","What happens if I go over the allowance","risk","Actual coverage where I spend my time","quality","How long it takes to set up and move my number","time","Whether people I call most are on the same network","social","Whether the plan can scale up if I need more later","growth","The company's record on treating customers well","values"
"consumer","consumer_laptop","I'm about to buy a laptop I'll be using for the next few years and can only check a few things first.","The price","cost","How long it will stay fast enough for what I do","growth","The warranty and what repairs cost once it runs out","risk","Build quality, keyboard and screen","quality","Weight and battery life for carrying it around","flexibility","How long setting it up and moving my files would take","time","Whether it matches what the people I work with use","social","The company's repairability and environmental record","values"
"consumer","consumer_bank_account","I'm thinking about switching to a different bank account.","The fees and the interest rate","cost","How long switching would take","time","How they handle fraud and disputed payments","risk","How good the app and customer service are","quality","How easily I could change or close it later","flexibility","Whether it works well for splitting costs with people","social","Whether it offers anything useful as my finances change","growth","What the bank does with the money it holds","values"
"consumer","consumer_annual_subscription","I'm deciding whether to commit to an annual subscription instead of paying month to month.","The yearly cost against paying monthly","cost","How much I'd realistically use it","time","How hard it is to cancel partway through","flexibility","Whether the price is locked for the year","risk","How good the service actually is day to day","quality","Whether it can be shared with anyone else","social","Whether it will still be useful to me in a year","growth","What the company does with my data","values"
"travel","travel_trip_planning","I'm planning a two-week trip and can only research a few things properly before I book.","The total cost of the trip","cost","How much of it would be spent travelling between places","time","Safety and practical risks at the destination","risk","The standard of the places I'd stay","quality","How easy it is to change plans once I'm there","flexibility","Whether it suits the people I'd be going with","social","Whether I'd come back having seen something new to me","growth","The impact the trip has on the places I visit","values"
"travel","travel_hotel","I'm choosing a hotel for a few nights and the options look fairly similar.","The nightly rate and what's included","cost","How far it is from where I need to be","time","Whether the booking can be changed or refunded","flexibility","Recent reviews on cleanliness and noise","quality","How the area feels late at night","risk","Whether it's somewhere I'd be happy meeting people","social","Whether staying there earns anything towards future trips","growth","Whether it's a local place or a large chain","values"
"travel","travel_flights","I'm booking flights and there are several options at different times and prices.","The difference in fare","cost","Total journey time including connections","time","How tight the connections are","risk","The airline's reliability and seat comfort","quality","Whether the ticket can be changed later","flexibility","Whether the timing fits with when others are arriving","social","Whether the fare earns anything towards future travel","growth","The emissions of the different routings","values"
"travel","travel_weekend_away","Some friends want to plan a weekend away and I've been asked to help decide where we go.","What it would cost each person","cost","How long the journey is each way","time","What happens if someone drops out late","risk","Whether there's enough there for everyone to do","quality","How easily plans could be changed close to the date","flexibility","Whether it suits everyone in the group","social","Whether we could go back cheaply another time","growth","Whether it's somewhere I've actually wanted to go","values"
"commitments","commitments_gym","I'm thinking about joining a gym and want to decide without spending weeks on it.","The monthly cost and joining fee","cost","How long it takes to get there and back","time","How long the contract ties me in","flexibility","How busy it gets at the times I'd actually go","quality","Whether anyone I know goes there","social","Whether there's help getting started safely","risk","Whether it has what I'd need if I got more serious","growth","How the place is run and how the staff are treated","values"
"commitments","commitments_evening_course","I'm deciding whether to sign up for an evening course that runs for a few months.","The course fee","cost","How many hours a week it needs on top of everything else","time","What happens if I can't finish it","risk","How good the teaching is supposed to be","quality","Whether sessions can be caught up if I miss one","flexibility","Who else tends to take it","social","Whether it leads anywhere afterwards","growth","Whether the subject is something I actually care about","values"
"commitments","commitments_volunteering","A local organisation has asked me to volunteer with them regularly and I need to decide.","Any costs I'd be covering myself, like travel","cost","How many hours a week it would take","time","How hard it would be to step back later","flexibility","What I'd actually be doing week to week","quality","Whether I'd be working with people I get on with","social","Whether I'd be out of my depth","risk","Whether I'd learn anything useful from it","growth","How much difference the work really makes","values"
"commitments","commitments_weekly_team","Some people have asked me to join a team that plays every week through the season.","The cost of joining and kit","cost","The weekly commitment once travel is counted","time","Whether I'd be letting people down if I missed weeks","social","How seriously they take it","quality","What happens if I need to stop partway through","flexibility","The chance of picking up an injury","risk","Whether I'd actually get better at it","growth","Whether it's how I want to spend that evening","values"
